1.608: [GC 1.608: [DefNew: 959K->64K(960K), 0.0022443 secs] 48049K->47840K(524224K), 0.0022972 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.611: [GC 1.611: [DefNew: 960K->64K(960K), 0.0022688 secs] 48737K->48510K(524224K), 0.0023198 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.615: [GC 1.615: [DefNew: 960K->63K(960K), 0.0026389 secs] 49406K->49107K(524224K), 0.0027086 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.620: [GC 1.620: [DefNew: 959K->64K(960K), 0.0023598 secs] 50003K->49782K(524224K), 0.0024204 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.624: [GC 1.624: [DefNew: 960K->64K(960K), 0.0023314 secs] 50680K->50444K(524224K), 0.0023853 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.629: [GC 1.629: [DefNew: 960K->64K(960K), 0.0020744 secs] 51341K->51060K(524224K), 0.0021182 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.632: [GC 1.632: [DefNew: 960K->63K(960K), 0.0020123 secs] 51957K->51629K(524224K), 0.0020576 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.636: [GC 1.636: [DefNew: 959K->64K(960K), 0.0022842 secs] 52525K->52237K(524224K), 0.0023439 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.639: [GC 1.639: [DefNew: 960K->64K(960K), 0.0023444 secs] 53134K->52890K(524224K), 0.0024127 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.644: [GC 1.644: [DefNew: 960K->63K(960K), 0.0025917 secs] 53788K->53590K(524224K), 0.0026586 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.649: [GC 1.649: [DefNew: 959K->64K(960K), 0.0025542 secs] 54486K->54303K(524224K), 0.0026307 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.653: [GC 1.653: [DefNew: 960K->63K(960K), 0.0023747 secs] 55200K->54988K(524224K), 0.0024339 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.658: [GC 1.658: [DefNew: 959K->64K(960K), 0.0024300 secs] 55885K->55685K(524224K), 0.0024796 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.670: [GC 1.670: [DefNew: 960K->64K(960K), 0.0073593 secs] 57606K->57306K(524224K), 0.0074445 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
1.680: [GC 1.680: [DefNew: 960K->63K(960K), 0.0029127 secs] 58202K->57962K(524224K), 0.0029819 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
